index,x,y,z
1,290.49, -74.44,  -9.55
2,312.62,  -8.81,  -9.02
3,291.04,  54.41,  -7.79
4,204.27,  54.67,  -7.37
5,182.73, -11.84,  -6.86
6,204.45, -75.43,  -8.44
7,248.78, -22.71,  -9.19
1,290.36, -75.27, -10.81
2,312.26, -11.98,  -9.59
3,291.23,  54.44,  -8.69
4,204.32,  54.68,  -7.39
5,182.31, -11.98,  -5.79
6,204.87, -78.28,  -9.18
7,247.76, -25.15, -10.27
1,291.13, -78.78, -10.18
2,312.51, -11.99,  -9.66
3,291.25,  54.58,  -8.60
4,204.83,  54.82,  -9.09
5,181.36, -14.19,  -7.04
6,206.56, -78.93,  -9.13
7,248.07, -22.52, -10.15
1,291.39, -74.82, -11.43
2,312.40, -11.99,  -9.65
3,290.66,  54.47,  -8.51
4,203.83,  54.55,  -7.76
5,182.47, -11.82,  -6.96
6,204.44, -78.44,  -7.38
7,249.47, -22.88,  -8.82
1,292.00, -75.26, -10.49
2,312.75,  -8.38, -10.56
3,290.60,  54.74,  -9.43
4,203.62,  54.49,  -8.15
5,183.53, -11.97,  -6.77
6,204.43, -75.85,  -8.97
7,247.89, -25.17,  -9.30
