ball index, x ,y ,r ,r ,g, b
6,106,57,9,255,251,206
4,48,59,8,205,229,255
5,77,66,8,255,254,221
1,109,17,10,178,253,233
7,83,40,9,181,255,240
3,44,18,11,255,167,172
1,110,17,11,174,250,228
7,83,38,10,172,254,233
4,49,58,8,200,223,255
6,106,58,8,255,254,215
5,77,66,8,255,254,219
3,43,18,10,255,171,180
6,124,55,15,248,219,178
5,76,72,15,255,251,210
4,27,58,15,168,193,250
7,85,23,17,154,253,236
5,32,78,22,252,225,197
6,90,41,23,255,243,209
2,136,43,20,177,200,239
3,73,52,18,255,152,156
3,78,44,30,249,126,128
5,72,45,24,253,252,210
5,86,60,12,255,254,211
7,98,22,13,162,252,228
4,48,47,12,192,221,255
6,124,50,12,255,233,189
6,88,59,13,255,254,211
7,45,40,14,162,255,239
5,53,79,12,255,251,208
