ball index, x, y ,z
6,  276.94,  -3.84, 154.75
4,  276.94,  -3.84, 154.75
5,  276.94,  -3.84, 154.75
1,  276.94,  -3.84, 154.75
7,  276.94,  -3.84, 154.75
3,  276.94,  -3.84, 154.75
1,  276.94,  -3.84, 154.75
7,  276.94,  -3.84, 154.75
4,  276.94,  -3.84, 154.75
6,  276.94,  -3.84, 154.75
5,  276.94,  -3.84, 154.75
3,  276.94,  -3.84, 154.75
6,  213.09,  -8.47,  45.68
5,  213.09,  -8.47,  45.68
4,  213.09,  -8.47,  45.68
7,  213.09,  -8.47,  45.68
5,  176.74, -52.77,  -1.97
6,  176.74, -52.77,  -1.97
2,  278.23,  52.14,  18.18
3,  278.23,  52.14,  18.18
3,  248.96,  50.12, -27.16
5,  151.87,  -9.91,  -1.55
5,  219.57,  13.51,  95.55
7,  219.57,  13.51,  95.55
4,  219.57,  13.51,  95.55
6,  219.57,  13.51,  95.55
6,  232.94, -60.04,  66.48
7,  232.94, -60.04,  66.48
5,  232.94, -60.04,  66.48
